id,name,orig_name
143,HAMPTON FRAMS RAW PEANUTS,HAMPTON FRAMS RAW PEANUTS
144,AHMED ROSE PETAL SPREAD,AHMED ROSE PETAL SPREAD
145,HIMANI NAVRATNA OIL,HIMANI NAVRATNA OIL
146,BOBS ORG COCONUT FLOUR,BOBS ORG COCONUT FLOUR
147,BOMBAY SWEETS CHANACHUR,BOMBAY SWEETS CHANACHUR
148,KACHORI,KACHORI
149,DIET PEPSI,DIET PEPSI
150,TIKKA SEV,TIKKA SEV
151,COFRESH GREEN PEAS N PEANUTS,COFRESH GREEN PEAS N PEANUTS
152,HORIZON ORGANIC FAT FREE MILK,HORIZON ORGANIC FAT FREE MILK
153,BRITANNIA NUTRI 5 GRAIN,BRITANNIA NUTRI 5 GRAIN
154,CADBURY FLAKE,CADBURY FLAKE
155,A1 GROUNDNUT OIL,A1 GROUNDNUT OIL
156,BRITANNIA MARIE GOLD,BRITANNIA MARIE GOLD
157,CHIKEN MASALA KEEMA,CHIKEN MASALA KEEMA
158,DAILY DELIGHT CHILLI KOTHU POROTTA,DAILY DELIGHT CHILLI KOTHU POROTTA
159,CHIKO ROYALE CANDY,CHIKO ROYALE CANDY
160,BHAVANI ROCK SALT POWDER,BHAVANI ROCK SALT POWDER
161,PLAIN PARATHA FAMILY PACK,PLAIN PARATHA FAMILY PACK
162,GOPI 2 LOWFAT YOGURT,GOPI 2 LOWFAT YOGURT
163,ALOKOZAY SUNFLOWER OIL,ALOKOZAY SUNFLOWER OIL
164,KITCHEN TREASURES VEG MASALA,KITCHEN TREASURES VEG MASALA
165,GOLOKA CHAKRA,GOLOKA CHAKRA
166,BADSHAH VEG SUBJI MASALA,BADSHAH VEG SUBJI MASALA
167,ASHWIN CLOVE OIL,ASHWIN CLOVE OIL
168,DULHAN CLASSIC RAJASTHANI HENNA,DULHAN CLASSIC RAJASTHANI HENNA
169,INDUBEN ACHAR MASALA KHAKHRA,INDUBEN ACHAR MASALA KHAKHRA
170,AHMAD CARDAMON TEA,AHMAD CARDAMON TEA
171,24 MANTRA ORG LEMON PICKLE WITH GARLIC,24 MANTRA ORG LEMON PICKLE WITH GARLIC
172,CUMIN SEED,CUMIN SEED
173,HALDIRAMS ALOO BHUJIA,HALDIRAMS ALOO BHUJIA
174,KALEVA ROSE LADDOO,KALEVA ROSE LADDOO
175,BOBS RED MILL GF OAT BRAN HOT CEREAL GF,BOBS RED MILL GF OAT BRAN HOT CEREAL GF
176,CELESTE SAUSAGE N PEPPERONI PIZZA,CELESTE SAUSAGE N PEPPERONI PIZZA
177,DETTOL SURFACE CLEANSER WIPES,DETTOL SURFACE CLEANSER WIPES
178,CLOROX  CLEANER + BLEACH,CLOROX  CLEANER + BLEACH
179,CAMPA BAKING POWDER,CAMPA BAKING POWDER
180,ELVAN TODAY CROISSANT,ELVAN TODAY CROISSANT
181,AB ANJEER DRY FRUIT ROLL,AB ANJEER DRY FRUIT ROLL
182,ETI WANTED POPS CARAMEL,ETI WANTED POPS CARAMEL
183,GRB PURE GHEE,GRB PURE GHEE
184,FILIPPO BERIO OLIVE OIL,FILIPPO BERIO OLIVE OIL
185,HALDIRAMS SOAN CAKE,HALDIRAMS SOAN CAKE
186,CHICKEN FINGERS STRIP,CHICKEN FINGERS STRIP
187,CHINGS SECRET TOMATO SOUP,CHINGS SECRET TOMATO SOUP
188,BARAKA BEEF BOLOGNA,BARAKA BEEF BOLOGNA
189,AMMAS KITCHEN ACHAPPAM,AMMAS KITCHEN ACHAPPAM
190,GUYANESE PRIDE CASSAREEP SAUCE,GUYANESE PRIDE CASSAREEP SAUCE
191,KESAR LONG VATI,KESAR LONG VATI
192,DABUR REAL LITCHI NECTAR,DABUR REAL LITCHI NECTAR
193,BANSI RAJGIRA LADOO    P17,BANSI RAJGIRA LADOO    P17
194,HOMEMADE NAMKIN AND SWEET,HOMEMADE NAMKIN AND SWEET
195,EGGLANDS CAGE FREE LARGE BROWN EGGS,EGGLANDS CAGE FREE LARGE BROWN EGGS
196,ANYTIME SNACKS AJWAIN BISCUITS,ANYTIME SNACKS AJWAIN BISCUITS
197,KEY BRAND HOT SAUCE,KEY BRAND HOT SAUCE
198,KHAZANA SOYA CHAAP,KHAZANA SOYA CHAAP
199,ALEPPO HUMMUS CLASSIC,ALEPPO HUMMUS CLASSIC
200,DEEP URAD DAL CHILKA,DEEP URAD DAL CHILKA
201,JOHNSONS BABY OIL,JOHNSONS BABY OIL
202,BRITANNIA DATE ROLLS,BRITANNIA DATE ROLLS
203,BASAK GROUND MAHLEB,BASAK GROUND MAHLEB
204,DEEP GOTA MIX,DEEP GOTA MIX
205,AHMED BUTTER CHICKEN,AHMED BUTTER CHICKEN
206,KHATA DHOKLA,KHATA DHOKLA
207,AVENUE ORIGINAL SELTZER,AVENUE ORIGINAL SELTZER
208,BROWN SUGAR,BROWN SUGAR
209,GOYA MARIA COOKIES,GOYA MARIA COOKIES
210,ALU SEKERPARE,ALU SEKERPARE
211,DESI DELIGHT BENGAL GRAM SPLIT,DESI DELIGHT BENGAL GRAM SPLIT
212,ARNOLD ITALIAN BREAD,ARNOLD ITALIAN BREAD
